"State","County","Low_access._seniors_age_65+_at_1/2_mile._number","Low_access._seniors_age_65+_at_1/2_mile._share","Low_access._seniors_age_65+_at_1_mile._number","Low_access._seniors_age_65+_at_1_mile._share","Low_access._seniors_age_65+_at_10_miles._number","Low_access._seniors_age_65+_at_10_miles._share","Low_access._seniors_age_65+_at_20_miles._number","Low_access._seniors_age_65+_at_20_miles._share"
"MS","Marion",617.308005188683,92.6688263416667,478.18291644345,72.1237476233333,59.3547286011167,10.79507464,0,0
"MS","Marshall",718.352596099183,84.570594265,668.688372153783,74.5298548133333,126.36697617185,13.8856293066667,0,0
"MS","Monroe",538.075597043478,82.9039192155556,426.223606182278,65.1150407555556,10.0886095022889,1.23652861888889,0,0
"MS","Montgomery",623.457271119233,99.71652972,551.913746090267,91.7406629366667,200.8871444193,40.9428996566667,0,0
"MS","Neshoba",506.3966012304,88.1068057142857,399.393493106557,68.9643257971429,19.5865411006714,2.61430110285714,0,0
"MS","Newton",583.13679442912,89.880893322,520.64998468072,80.033599366,29.17560745462,4.052167702,0,0
"MS","Noxubee",416.497084207667,73.4544380633333,347.5799841572,56.0567191933333,101.523718056233,16.2452171533333,0,0
"MS","Oktibbeha",492.21818114495,88.472734665,418.579924517813,72.48010603625,11.7101322585625,1.14215949,0,0
"MS","Panola",670.612370347567,93.16673609,601.32689078975,85.7884322083333,107.164096852867,13.4861893366667,0,0
"MS","Pearl River",836.687020178789,91.15801283,710.443455339711,74.8588037344445,41.1802867919222,4.55962180111111,0,0
"MS","Perry",527.677791731733,91.78408927,450.311713586867,79.9452669666667,40.6060448554667,7.42384877333333,0,0
"MS","Pike",569.724323681762,80.52338163,419.814762523125,60.44880063125,20.8320015103125,3.2712424025,0,0
"MS","Pontotoc",609.01470176035,96.5796150966667,548.245113701933,89.5032575166667,42.3474050140167,7.25366937833333,0,0
"MS","Prentiss",671.071260606,84.152392462,563.42978754434,67.379068552,20.01669720234,2.605732264,0,0
"MS","Quitman",353.186276205333,90.07963708,274.5300126297,67.02620695,56.4056935299333,21.1289013133333,0,0
"MS","Rankin",523.791830174363,87.7681504062963,386.679657283041,63.6745865866667,14.0723021475481,2.17039838777778,0,0
"MS","Scott",524.336160428867,89.2193987083333,440.80912206885,73.81317909,53.0437529572167,8.682652155,0,0
"MS","Sharkey",242.34355352595,65.58623954,182.03295592005,47.422410885,28.7962894026,7.4990337,0,0
"MS","Simpson",728.66641800192,93.636399142,641.40112549802,80.248192116,49.21926134586,5.726977446,0,0
"MS","Smith",783.237593969533,93.0348430066667,717.670802100967,85.2575741666667,121.369830856433,14.5005771633333,0,0
"MS","Stone",668.694836200567,91.2671709066667,613.285484147667,80.8409657233333,130.3449263391,16.90674374,0,0
"MS","Sunflower",309.905201727871,77.7522925757143,230.646278846943,63.8712507814286,8.96631523248571,2.59656588857143,0,0
"MS","Tallahatchie",399.49213051135,86.4426069075,354.936605547275,75.5483847475,176.8553019688,44.0663636575,0,0
"MS","Tate",680.6587110264,94.043300688,618.6267491621,83.55445869,142.23389944336,20.044739804,0,0
"MS","Tippah",706.682688715325,81.8449688,623.0485464962,69.89736107,27.005568575025,2.78081798,0,0
"MS","Tishomingo",756.43614241125,85.868127525,625.023633178175,71.2471742075,0,0,0,0
"MS","Tunica",249.9548121286,50.9277448366667,211.907998188067,44.2528652,59.1913298631,13.1829242466667,0,0
"MS","Union",599.81473963595,91.7501351283333,502.058579719233,77.559637635,46.2337305283667,8.05386007166667,0,0
"MS","Walthall",751.333695885533,86.0358676833333,686.531896732367,72.33746017,228.2750360822,22.8678558433333,0,0
"MS","Warren",454.002542606892,83.7856739791667,339.957732098025,58.0888545216667,29.3526779801,4.10439273166667,0.088317630875,0.011514685
"MS","Washington",246.515374866216,74.081845198421,114.788244254316,32.5759436910526,7.21934085179474,1.25750071421053,0,0
"MS","Wayne",617.83366439445,85.8554095225,532.830915188675,74.2310944625,38.28882318205,5.68753479,0,0
"MS","Webster",449.7272282078,76.6184423066667,376.773830155633,58.4171087466667,77.1395065392,11.7868790866667,0,0
"MS","Wilkinson",536.6145715005,78.013045575,429.24988850215,62.63460686,126.59502789475,18.79026554,0,0
"MS","Winston",579.55633234336,90.851507494,500.41651492382,77.42553343,75.14443775438,11.459446856,0,0
"MS","Yalobusha",627.075984990733,88.6695523533333,580.274505014967,81.4181416966667,55.0709205079333,6.82171476,0,0
"MS","Yazoo",469.299018049517,86.0282370216667,364.944135944567,65.6035860466667,107.841526532783,23.1516523166667,5.25077234866667,1.816876245
"MT","Beaverhead",360.3666315557,78.20269794,280.2051062221,67.18201615,116.2381618521,37.8013879133333,99.6491806399,34.15977662
"MT","Big Horn",207.46307066556,88.640464014,157.3912458093,78.18194284,88.65581020042,50.692314444,20.2329516422,13.425869754
"MT","Blaine",118.311473470325,70.6898685375,104.643805227975,67.8245501225,57.632269944775,37.3110216275,46.373672239125,32.97779339
"MT","Broadwater",312.34341633155,58.167059795,275.19528849095,49.961851995,102.6309342167,18.592560545,24.74630111655,4.483025565
"MT","Carbon",304.209989906,81.512725074,275.74789819596,74.842142056,123.58964136854,32.154922524,0.97200117548,0.284518004
"MT","Carter",268.9999994048,99.99999978,268.9999994048,99.99999978,268.9999994048,99.99999978,268.922538035,99.97120373
