"County","State","Average_Mort_Score","Average_Readm_Score","Death_Cat","Readm_Cat","Death_Readm_Cat"
"SAN LUIS OBISPO","CA",15.4,15.5,"Worse Than National","Better Than National",NA
"SAN JUAN","NM",15,16.9,"Worse Than National",NA,NA
"SAN JUAN","PR",14.62,17.275,NA,NA,NA
"SAN JUAN","UT",NA,NA,NA,NA,NA
"SAN JUAN","WA",NA,NA,NA,NA,NA
"SAN JOAQUIN","CA",13.5333333333333,16.78,NA,NA,NA
"SAN GERMAN","PR",15.8,17.3,"Worse Than National","Worse Than National","Worse Than National"
"SAN FRANCISCO","CA",13.7142857142857,17.45,NA,"Worse Than National",NA
"SAN DIEGO","CA",13.7384615384615,16.2076923076923,NA,"Better Than National",NA
"SAN BERNARDINO","CA",13.6222222222222,17.1,NA,NA,NA
"SAN BENITO","CA",12.9,17.1,"Better Than National",NA,NA
"SAN AUGUSTINE","TX",NA,NA,NA,NA,NA
"SAMPSON","NC",14.4,NA,NA,NA,NA
"SALT LAKE","UT",13.78,16.1,NA,"Better Than National",NA
"SALINE","AR",14.3,17.1,NA,NA,NA
"SALINE","IL",NA,NA,NA,NA,NA
"SALINE","KS",13.9,17,NA,NA,NA
"SALINE","MO",NA,NA,NA,NA,NA
"SALINE","NE",NA,NA,NA,NA,NA
"SALEM","NJ",13.25,16.95,"Better Than National",NA,NA
"SALEM","VA",14.4,17.7,NA,"Worse Than National",NA
"SAINTE GENEVIEVE","MO",NA,NA,NA,NA,NA
"SAINT TAMMANY","LA",13.12,17,"Better Than National",NA,NA
"SAINT MARYS","MD",NA,NA,NA,NA,NA
"SAINT MARY","LA",15.4,16,"Worse Than National","Better Than National",NA
"SAINT MARTIN","LA",NA,NA,NA,NA,NA
"SAINT LUCIE","FL",13.25,19,"Better Than National","Worse Than National",NA
"SAINT LOUIS CITY","MO",14,18.55,NA,"Worse Than National",NA
"SAINT LOUIS","MN",13.05,17.4,"Better Than National","Worse Than National",NA
"SAINT LOUIS","MO",14.0125,17.1875,NA,NA,NA
"SAINT LAWRENCE","NY",14.5666666666667,16.5666666666667,NA,NA,NA
"SAINT LANDRY","LA",14.7,16,NA,"Better Than National",NA
"SAINT JOSEPH","MI",NA,NA,NA,NA,NA
"SAINT JOHNS","FL",13.1,16.9,"Better Than National",NA,NA
"SAINT JAMES","LA",NA,NA,NA,NA,NA
"SAINT HELENA","LA",NA,NA,NA,NA,NA
"SAINT FRANCOIS","MO",15.2,NA,"Worse Than National",NA,NA
"SAINT FRANCIS","AR",NA,NA,NA,NA,NA
"SAINT CROIX","WI",NA,NA,NA,NA,NA
"SAINT CLAIR","AL",13.6,NA,NA,NA,NA
"SAINT CLAIR","IL",12.6,17.55,"Better Than National","Worse Than National",NA
"SAINT CLAIR","MI",14.3666666666667,16.6,NA,NA,NA
"SAINT CLAIR","MO",NA,NA,NA,NA,NA
"SAINT CHARLES","LA",NA,NA,NA,NA,NA
"SAINT CHARLES","MO",13.7,17.325,NA,"Worse Than National",NA
"SAINT BERNARD","LA",NA,NA,NA,NA,NA
"SAGINAW","MI",14,18.15,NA,"Worse Than National",NA
"SACRAMENTO","CA",13.8666666666667,17.1833333333333,NA,NA,NA
"SAC","IA",NA,NA,NA,NA,NA
"SABINE","LA",NA,NA,NA,NA,NA
"SABINE","TX",NA,NA,NA,NA,NA
"RUTLAND","VT",13.5,16.7,"Better Than National",NA,NA
"RUTHERFORD","NC",15.4,15.6,"Worse Than National","Better Than National",NA
"RUTHERFORD","TN",15,17.3,"Worse Than National","Worse Than National","Worse Than National"
"RUSSELL","AL",NA,NA,NA,NA,NA
"RUSSELL","KS",NA,NA,NA,NA,NA
"RUSSELL","KY",NA,NA,NA,NA,NA
"RUSSELL","VA",14.6,NA,NA,NA,NA
"RUSK","TX",NA,NA,NA,NA,NA
"RUSK","WI",NA,NA,NA,NA,NA
"RUSH","IN",NA,NA,NA,NA,NA
"RUSH","KS",NA,NA,NA,NA,NA
"RUNNELS","TX",NA,NA,NA,NA,NA
"ROWAN","KY",13.8,17.6,NA,"Worse Than National",NA
"ROWAN","NC",14,16.8,NA,NA,NA
"ROUTT","CO",NA,NA,NA,NA,NA
"ROSS","OH",15.2,17.2,"Worse Than National",NA,NA
"ROSEBUD","MT",NA,NA,NA,NA,NA
"ROSEAU","MN",NA,NA,NA,NA,NA
"ROOSEVELT","MT",NA,NA,NA,NA,NA
"ROOSEVELT","NM",13.9,NA,NA,NA,NA
"ROOKS","KS",NA,NA,NA,NA,NA
"ROLETTE","ND",NA,NA,NA,NA,NA
"ROGERS","OK",14.7,NA,NA,NA,NA
"ROGER MILLS","OK",NA,NA,NA,NA,NA
"ROCKWALL","TX",NA,NA,NA,NA,NA
"ROCKLAND","NY",13.1,17.55,"Better Than National","Worse Than National",NA
"ROCKINGHAM","NC",13.8,16.9,NA,NA,NA
"ROCKINGHAM","NH",15.0333333333333,16.9666666666667,"Worse Than National",NA,NA
"ROCKDALE","GA",14.1,16.3,NA,"Better Than National",NA
"ROCKCASTLE","KY",NA,NA,NA,NA,NA
"ROCK ISLAND","IL",13.2,16.2,"Better Than National","Better Than National","Better Than National"
"ROCK","MN",NA,NA,NA,NA,NA
"ROCK","NE",NA,NA,NA,NA,NA
"ROCK","WI",16,16.9,"Worse Than National",NA,NA
"ROBESON","NC",13.3,18.3,"Better Than National","Worse Than National",NA
"ROBERTSON","TN",13.8,15.7,NA,"Better Than National",NA
"ROBERTS","SD",NA,NA,NA,NA,NA
"ROANOKE CITY","VA",12.7,17.4,"Better Than National","Worse Than National",NA
"ROANE","TN",NA,NA,NA,NA,NA
"ROANE","WV",NA,NA,NA,NA,NA
"RIVERSIDE","CA",14.525,17.04,NA,NA,NA
"RIPLEY","IN",NA,NA,NA,NA,NA
"RIPLEY","MO",NA,NA,NA,NA,NA
"RIO GRANDE","CO",NA,NA,NA,NA,NA
"RIO BLANCO","CO",NA,NA,NA,NA,NA
"RIO ARRIBA","NM",NA,NA,NA,NA,NA
"RINGGOLD","IA",NA,NA,NA,NA,NA
"RILEY","KS",13.1,15.5,"Better Than National","Better Than National","Better Than National"
"RICHMOND CITY","VA",15,15.6,"Worse Than National","Better Than National",NA
"RICHMOND","GA",14.975,17.725,"Worse Than National","Worse Than National","Worse Than National"
"RICHMOND","NC",13.9,NA,NA,NA,NA
"RICHMOND","NY",13.85,17.35,NA,"Worse Than National",NA
"RICHLAND","IL",14,NA,NA,NA,NA
"RICHLAND","LA",NA,NA,NA,NA,NA
"RICHLAND","MT",NA,NA,NA,NA,NA
"RICHLAND","OH",14.2,17.4,NA,"Worse Than National",NA
"RICHLAND","SC",13.6,16.4,NA,NA,NA
"RICHLAND","WI",14.2,NA,NA,NA,NA
"RICHARDSON","NE",NA,NA,NA,NA,NA
"RICE","KS",NA,NA,NA,NA,NA
"RICE","MN",NA,NA,NA,NA,NA
"RHEA","TN",NA,NA,NA,NA,NA
"REYNOLDS","MO",NA,NA,NA,NA,NA
"REPUBLIC","KS",NA,NA,NA,NA,NA
"RENVILLE","MN",NA,NA,NA,NA,NA
"RENSSELAER","NY",15.75,16.5,"Worse Than National",NA,NA
"RENO","KS",15.9,16.2,"Worse Than National","Better Than National",NA
"REFUGIO","TX",NA,NA,NA,NA,NA
"REEVES","TX",NA,NA,NA,NA,NA
"REDWOOD","MN",NA,NA,NA,NA,NA
"RED WILLOW","NE",NA,NA,NA,NA,NA
"RED RIVER","LA",NA,NA,NA,NA,NA
"REAGAN","TX",NA,NA,NA,NA,NA
"RAY","MO",NA,NA,NA,NA,NA
"RAWLINS","KS",NA,NA,NA,NA,NA
"RAVALLI","MT",NA,NA,NA,NA,NA
"RAPIDES","LA",14.9,17.05,"Worse Than National",NA,NA
"RANSOM","ND",NA,NA,NA,NA,NA
"RANKIN","MS",NA,NA,NA,NA,NA
"RANDOLPH","AL",NA,NA,NA,NA,NA
"RANDOLPH","AR",NA,NA,NA,NA,NA
"RANDOLPH","GA",NA,NA,NA,NA,NA
"RANDOLPH","IL",NA,NA,NA,NA,NA
"RANDOLPH","IN",NA,NA,NA,NA,NA
"RANDOLPH","MO",14.1,17,NA,NA,NA
"RANDOLPH","NC",15,16.5,"Worse Than National",NA,NA
"RANDOLPH","WV",14.5,16.6,NA,NA,NA
"RAMSEY","MN",14.025,16.5666666666667,NA,NA,NA
"RAMSEY","ND",NA,NA,NA,NA,NA
"RALEIGH","WV",13.9,19,NA,"Worse Than National",NA
"RACINE","WI",14.05,16.9,NA,NA,NA
"RABUN","GA",NA,NA,NA,NA,NA
"QUITMAN","MS",NA,NA,NA,NA,NA
"QUEENS","NY",14.825,17.6,"Worse Than National","Worse Than National","Worse Than National"
"QUAY","NM",NA,NA,NA,NA,NA
"PUTNAM","FL",15.7,15.3,"Worse Than National","Better Than National",NA
"PUTNAM","GA",NA,NA,NA,NA,NA
"PUTNAM","IN",NA,NA,NA,NA,NA
"PUTNAM","MO",NA,NA,NA,NA,NA
"PUTNAM","NY",12.5,16.5,"Better Than National",NA,NA
"PUTNAM","TN",12.2,17.7,"Better Than National","Worse Than National",NA
"PUSHMATAHA","OK",NA,NA,NA,NA,NA
"PULASKI","AR",14.08,16.96,NA,NA,NA
"PULASKI","GA",NA,NA,NA,NA,NA
"PULASKI","IN",NA,NA,NA,NA,NA
"PULASKI","KY",16.5,17.4,"Worse Than National","Worse Than National","Worse Than National"
"PULASKI","VA",13.3,16.8,"Better Than National",NA,NA
"PUEBLO","CO",14.2,15.65,NA,"Better Than National",NA
"PROWERS","CO",NA,NA,NA,NA,NA
"PROVIDENCE","RI",12.3333333333333,17.2333333333333,"Better Than National",NA,NA
"PRINCE WILLIAM","VA",15,18,"Worse Than National","Worse Than National","Worse Than National"
"PRINCE GEORGES","MD",NA,NA,NA,NA,NA
"PRINCE EDWARD","VA",13.5,16.4,"Better Than National",NA,NA
"PRICE","WI",NA,NA,NA,NA,NA
"PRESTON","WV",NA,NA,NA,NA,NA
"PRENTISS","MS",NA,NA,NA,NA,NA
"PRATT","KS",NA,NA,NA,NA,NA
"PRAIRIE","MT",NA,NA,NA,NA,NA
"POWESHIEK","IA",NA,NA,NA,NA,NA
"POWER","ID",NA,NA,NA,NA,NA
"POWELL","MT",NA,NA,NA,NA,NA
"POTTER","PA",13.7,16.6,NA,NA,NA
"POTTER","SD",NA,NA,NA,NA,NA
"POTTER","TX",13.3,15.75,"Better Than National","Better Than National","Better Than National"
"POTTAWATTAMIE","IA",13.05,16.1,"Better Than National","Better Than National","Better Than National"
"POTTAWATOMIE","KS",NA,NA,NA,NA,NA
"POTTAWATOMIE","OK",14.8,17.2,NA,NA,NA
"PORTSMOUTH CITY","VA",14.2,16.2,NA,"Better Than National",NA
"PORTER","IN",13.6,15.5,NA,"Better Than National",NA
"PORTAGE","OH",14,16.9,NA,NA,NA
"PORTAGE","WI",14.6,16.3,NA,"Better Than National",NA
"POPE","AR",15.5,17.6,"Worse Than National","Worse Than National","Worse Than National"
"POPE","MN",NA,NA,NA,NA,NA
"PONTOTOC","MS",NA,NA,NA,NA,NA
"PONTOTOC","OK",13.5,16.8,"Better Than National",NA,NA
"PONDERA","MT",NA,NA,NA,NA,NA
"PONCE","PR",14.65,18.1,NA,"Worse Than National",NA
"POLK","AR",15.7,NA,"Worse Than National",NA,NA
"POLK","FL",14.65,18.5,NA,"Worse Than National",NA
"POLK","GA",NA,NA,NA,NA,NA
"POLK","IA",15.7666666666667,16.4,"Worse Than National",NA,NA
"POLK","MN",NA,NA,NA,NA,NA
"POLK","MO",14.5,17.4,NA,"Worse Than National",NA
"POLK","NC",NA,NA,NA,NA,NA
"POLK","NE",NA,NA,NA,NA,NA
"POLK","OR",NA,NA,NA,NA,NA
"POLK","TN",NA,NA,NA,NA,NA
"POLK","TX",NA,NA,NA,NA,NA
"POLK","WI",NA,NA,NA,NA,NA
"POINTE COUPEE","LA",NA,NA,NA,NA,NA
"POCAHONTAS","IA",NA,NA,NA,NA,NA
"POCAHONTAS","WV",NA,NA,NA,NA,NA
"PLYMOUTH","IA",NA,NA,NA,NA,NA
"PLYMOUTH","MA",14.6666666666667,17.0333333333333,NA,NA,NA
"PLUMAS","CA",NA,NA,NA,NA,NA
"PLATTE","MO",13.5,17.5,"Better Than National","Worse Than National",NA
"PLATTE","NE",16.1,NA,"Worse Than National",NA,NA
"PLATTE","WY",NA,NA,NA,NA,NA
"PLACER","CA",14.55,15.2,NA,"Better Than National",NA
"PITTSBURG","OK",13.4,18,"Better Than National","Worse Than National",NA
"PITT","NC",13,19.2,"Better Than National","Worse Than National",NA
"PITKIN","CO",NA,NA,NA,NA,NA
"PISCATAQUIS","ME",14.2,NA,NA,NA,NA
"PIPESTONE","MN",NA,NA,NA,NA,NA
"PINELLAS","FL",13.79,16.6444444444444,NA,NA,NA
"PINE","MN",NA,NA,NA,NA,NA
"PINAL","AZ",14.4,16.2,NA,"Better Than National",NA
"PIMA","AZ",14.2285714285714,16.9,NA,NA,NA
"PIKE","AL",NA,NA,NA,NA,NA
"PIKE","IL",NA,NA,NA,NA,NA
"PIKE","KY",13.8,18.1,NA,"Worse Than National",NA
"PIKE","MO",NA,NA,NA,NA,NA
"PIKE","MS",15.4,18,"Worse Than National","Worse Than National","Worse Than National"
"PIKE","OH",NA,NA,NA,NA,NA
"PIERCE","ND",NA,NA,NA,NA,NA
"PIERCE","NE",NA,NA,NA,NA,NA
"PIERCE","WA",14.2,17.525,NA,"Worse Than National",NA
"PIERCE","WI",NA,NA,NA,NA,NA
"PICKENS","AL",NA,NA,NA,NA,NA
"PICKENS","GA",14.4,17.4,NA,"Worse Than National",NA
"PICKENS","SC",14.7,16.7,NA,NA,NA
"PICKAWAY","OH",12.9,16.2,"Better Than National","Better Than National","Better Than National"
"PIATT","IL",NA,NA,NA,NA,NA
"PHILLIPS","AR",13.6,NA,NA,NA,NA
"PHILLIPS","CO",NA,NA,NA,NA,NA
"PHILLIPS","KS",NA,NA,NA,NA,NA
"PHILLIPS","MT",NA,NA,NA,NA,NA
"PHILADELPHIA","PA",13.5333333333333,17.1416666666667,NA,NA,NA
"PHELPS","MO",14.4,15.8,NA,"Better Than National",NA
"PHELPS","NE",NA,NA,NA,NA,NA
"PETTIS","MO",13.6,16.9,NA,NA,NA
"PETERSBURG CITY","VA",15.9,18.9,"Worse Than National","Worse Than National","Worse Than National"
"PERSON","NC",14.5,NA,NA,NA,NA
"PERSHING","NV",NA,NA,NA,NA,NA
"PERRY","IL",NA,NA,NA,NA,NA
"PERRY","IN",NA,NA,NA,NA,NA
"PERRY","KY",17.7,18.8,"Worse Than National","Worse Than National","Worse Than National"
"PERRY","MO",NA,NA,NA,NA,NA
"PERRY","MS",NA,NA,NA,NA,NA
"PERRY","TN",NA,NA,NA,NA,NA
"PERKINS","NE",NA,NA,NA,NA,NA
"PEPIN","WI",NA,NA,NA,NA,NA
"PEORIA","IL",14.5666666666667,16.4,NA,NA,NA
"PENOBSCOT","ME",14.8,16.65,NA,NA,NA
"PENNINGTON","MN",NA,NA,NA,NA,NA
"PENNINGTON","SD",13.3,17.6,"Better Than National","Worse Than National",NA
"PENDER","NC",NA,NA,NA,NA,NA
"PEND OREILLE","WA",NA,NA,NA,NA,NA
"PEMISCOT","MO",NA,NA,NA,NA,NA
"PEMBINA","ND",NA,NA,NA,NA,NA
"PECOS","TX",NA,NA,NA,NA,NA
"PEARL RIVER","MS",NA,NA,NA,NA,NA
"PEACH","GA",NA,NA,NA,NA,NA
"PAYNE","OK",13.1,16.2,"Better Than National","Better Than National","Better Than National"
"PAWNEE","KS",NA,NA,NA,NA,NA
"PAWNEE","NE",NA,NA,NA,NA,NA
"PAWNEE","OK",NA,NA,NA,NA,NA
"PAULDING","GA",NA,NA,NA,NA,NA
"PAULDING","OH",NA,NA,NA,NA,NA
"PATRICK","VA",NA,NA,NA,NA,NA
"PASSAIC","NJ",15.2,17.8,"Worse Than National","Worse Than National","Worse Than National"
"PASQUOTANK","NC",14.9,15.4,"Worse Than National","Better Than National",NA
"PASCO","FL",14,17.6166666666667,NA,"Worse Than National",NA
"PARMER","TX",NA,NA,NA,NA,NA
"PARKER","TX",14.2,16.8,NA,NA,NA
"PARK","MT",NA,NA,NA,NA,NA
"PARK","WY",NA,NA,NA,NA,NA
"PANOLA","MS",NA,NA,NA,NA,NA
"PANOLA","TX",NA,NA,NA,NA,NA
"PALO PINTO","TX",NA,NA,NA,NA,NA
"PALO ALTO","IA",NA,NA,NA,NA,NA
"PALM BEACH","FL",14.1916666666667,17.3909090909091,NA,"Worse Than National",NA
"PAGE","IA",NA,NA,NA,NA,NA
"PAGE","VA",NA,NA,NA,NA,NA
"PACIFIC","WA",NA,NA,NA,NA,NA
"OZAUKEE","WI",12.7,16.8,"Better Than National",NA,NA
"OXFORD","ME",15,NA,"Worse Than National",NA,NA
"OWEN","KY",NA,NA,NA,NA,NA
"OVERTON","TN",NA,NA,NA,NA,NA
"OUTAGAMIE","WI",15.25,15.25,"Worse Than National","Better Than National",NA
"OUACHITA","AR",NA,NA,NA,NA,NA
"OUACHITA","LA",13.8,17.75,NA,"Worse Than National",NA
"OTTER TAIL","MN",14.2,16.3,NA,"Better Than National",NA
"OTTAWA","KS",NA,NA,NA,NA,NA
"OTTAWA","MI",13.3,15.8,"Better Than National","Better Than National","Better Than National"
"OTTAWA","OH",NA,NA,NA,NA,NA
"OTTAWA","OK",NA,NA,NA,NA,NA
"OTSEGO","MI",14.2,NA,NA,NA,NA
"OTSEGO","NY",12.85,17.2,"Better Than National",NA,NA
"OTOE","NE",NA,NA,NA,NA,NA
"OTERO","CO",14.6,NA,NA,NA,NA
"OTERO","NM",16.5,NA,"Worse Than National",NA,NA
"OSWEGO","NY",14.4,17.5,NA,"Worse Than National",NA
"OSCEOLA","FL",13.35,17.65,"Better Than National","Worse Than National",NA
"OSCEOLA","IA",NA,NA,NA,NA,NA
"OSCEOLA","MI",NA,NA,NA,NA,NA
"OSBORNE","KS",NA,NA,NA,NA,NA
"OSAGE","OK",16.1,17.5,"Worse Than National","Worse Than National","Worse Than National"
"ORLEANS","LA",14.6666666666667,16.9,NA,NA,NA
"ORLEANS","NY",13.8,17,NA,NA,NA
"ORLEANS","VT",13.6,NA,NA,NA,NA
"ORANGEBURG","SC",13.2,17.1,"Better Than National",NA,NA
"ORANGE","CA",13.575,16.53125,NA,NA,NA
"ORANGE","FL",14.9,16.8,"Worse Than National",NA,NA
"ORANGE","IN",NA,NA,NA,NA,NA
"ORANGE","NC",12.8,18.5,"Better Than National","Worse Than National",NA
"ORANGE","NY",13.5,17,"Better Than National",NA,NA
"ORANGE","VT",14.4,NA,NA,NA,NA
"ONTONAGON","MI",NA,NA,NA,NA,NA
"ONTARIO","NY",15.65,16.5,"Worse Than National",NA,NA
"ONSLOW","NC",13.2,16.4,"Better Than National",NA,NA
"ONONDAGA","NY",13.9,15.9,NA,"Better Than National",NA
"ONEIDA","ID",NA,NA,NA,NA,NA
"ONEIDA","NY",15.2,16.4666666666667,"Worse Than National",NA,NA
"ONEIDA","WI",13,16.9,"Better Than National",NA,NA
"OLMSTED","MN",11.6,15.1,"Better Than National","Better Than National","Better Than National"
"OLDHAM","KY",NA,NA,NA,NA,NA
"OKTIBBEHA","MS",NA,NA,NA,NA,NA
"OKMULGEE","OK",NA,NA,NA,NA,NA
"OKLAHOMA","OK",14.0777777777778,16.5111111111111,NA,NA,NA
"OKFUSKEE","OK",NA,NA,NA,NA,NA
"OKEECHOBEE","FL",11.8,18.4,"Better Than National","Worse Than National",NA
"OKANOGAN","WA",NA,NA,NA,NA,NA
"OKALOOSA","FL",13.7333333333333,18.15,NA,"Worse Than National",NA
"OHIO","KY",NA,NA,NA,NA,NA
"OHIO","WV",14.6,17.15,NA,NA,NA
"OGLE","IL",NA,NA,NA,NA,NA
"OGEMAW","MI",14.8,15.6,NA,"Better Than National",NA
"OCONTO","WI",NA,NA,NA,NA,NA
"OCONEE","SC",15.3,16.4,"Worse Than National",NA,NA
"OCHILTREE","TX",NA,NA,NA,NA,NA
"OCEANA","MI",NA,NA,NA,NA,NA
"OCEAN","NJ",14.375,16.825,NA,NA,NA
"OBRIEN","IA",NA,NA,NA,NA,NA
"OBION","TN",13.5,NA,"Better Than National",NA,NA
"OAKLAND","MI",12.4888888888889,17.3333333333333,"Better Than National","Worse Than National",NA
"NYE","NV",14.3,NA,NA,NA,NA
"NUECES","TX",14.5,17.15,NA,NA,NA
"NUCKOLLS","NE",NA,NA,NA,NA,NA
"NOXUBEE","MS",NA,NA,NA,NA,NA
"NOWATA","OK",NA,NA,NA,NA,NA
"NORTON CITY","VA",13.5,NA,"Better Than National",NA,NA
"NORTON","KS",NA,NA,NA,NA,NA
"NORTHWEST ARCTIC","AK",NA,NA,NA,NA,NA
"NORTHUMBERLAND","PA",NA,NA,NA,NA,NA
"NORTHAMPTON","PA",13.2666666666667,15.8333333333333,"Better Than National","Better Than National","Better Than National"
"NORTHAMPTON","VA",13.4,17.2,"Better Than National",NA,NA
"NORMAN","MN",NA,NA,NA,NA,NA
"NORFOLK CITY","VA",14.4,16.4333333333333,NA,NA,NA
"NORFOLK","MA",13.975,16.625,NA,NA,NA
"NOME","AK",NA,NA,NA,NA,NA
"NOLAN","TX",NA,NA,NA,NA,NA
"NODAWAY","MO",NA,NA,NA,NA,NA
"NOBLES","MN",NA,NA,NA,NA,NA
"NOBLE","IN",NA,NA,NA,NA,NA
"NOBLE","OK",NA,NA,NA,NA,NA
"NIOBRARA","WY",NA,NA,NA,NA,NA
"NICOLLET","MN",NA,NA,NA,NA,NA
"NICHOLAS","WV",15,NA,"Worse Than National",NA,NA
"NIAGARA","NY",14.0666666666667,16.35,NA,NA,NA
"NEZ PERCE","ID",14.1,17.2,NA,NA,NA
"NEWTON","GA",15.5,17.8,"Worse Than National","Worse Than National","Worse Than National"
"NEWTON","MO",NA,NA,NA,NA,NA
"NEWTON","MS",NA,NA,NA,NA,NA
"NEWPORT NEWS CITY","VA",14.4,17.1,NA,NA,NA
"NEWPORT","RI",13.1,16.5,"Better Than National",NA,NA
"NEWBERRY","SC",NA,NA,NA,NA,NA
"NEWAYGO","MI",NA,NA,NA,NA,NA
"NEW YORK","NY",12.3,17.6857142857143,"Better Than National","Worse Than National",NA
"NEW MADRID","MO",14.4,16.7,NA,NA,NA
"NEW LONDON","CT",13.3,17.05,"Better Than National",NA,NA
"NEW KENT","VA",NA,NA,NA,NA,NA
"NEW HAVEN","CT",13.3166666666667,17.35,"Better Than National","Worse Than National",NA
"NEW HANOVER","NC",13.7,16.1,NA,"Better Than National",NA
"NEW CASTLE","DE",13.1,17.15,"Better Than National",NA,NA
"NEVADA","CA",14.4,16.9,NA,NA,NA
"NESS","KS",NA,NA,NA,NA,NA
"NESHOBA","MS",NA,NA,NA,NA,NA
"NEOSHO","KS",NA,NA,NA,NA,NA
"NEMAHA","KS",NA,NA,NA,NA,NA
"NEMAHA","NE",NA,NA,NA,NA,NA
"NELSON","KY",14,16.4,NA,NA,NA
"NELSON","ND",NA,NA,NA,NA,NA
"NAVARRO","TX",15,NA,"Worse Than National",NA,NA
"NAVAJO","AZ",14.2,16,NA,"Better Than National",NA
"NATRONA","WY",12.9,15.9,"Better Than National","Better Than National","Better Than National"
"NATCHITOCHES","LA",13.7,NA,NA,NA,NA
"NASSAU","FL",14.9,NA,"Worse Than National",NA,NA
"NASSAU","NY",13.73,17.47,NA,"Worse Than National",NA
"NASH","NC",16.4,18.8,"Worse Than National","Worse Than National","Worse Than National"
"NAPA","CA",14.05,17.7,NA,"Worse Than National",NA
"NANTUCKET","MA",NA,NA,NA,NA,NA
"NANCE","NE",NA,NA,NA,NA,NA
"NACOGDOCHES","TX",16.1,17.4,"Worse Than National","Worse Than National","Worse Than National"
"MUSSELSHELL","MT",NA,NA,NA,NA,NA
"MUSKOGEE","OK",13.2,16.5,"Better Than National",NA,NA
"MUSKINGUM","OH",12.7,16.1,"Better Than National","Better Than National","Better Than National"
"MUSKEGON","MI",NA,NA,NA,NA,NA
"MUSCOGEE","GA",15.75,16.55,"Worse Than National",NA,NA
"MUSCATINE","IA",NA,NA,NA,NA,NA
"MURRAY","GA",NA,NA,NA,NA,NA
"MURRAY","MN",NA,NA,NA,NA,NA
"MURRAY","OK",NA,NA,NA,NA,NA
"MULTNOMAH","OR",13.7,16.6666666666667,NA,NA,NA
"MUHLENBERG","KY",NA,NA,NA,NA,NA
"MOUNTRAIL","ND",NA,NA,NA,NA,NA
"MORTON","KS",NA,NA,NA,NA,NA
"MORROW","OH",NA,NA,NA,NA,NA
"MORROW","OR",NA,NA,NA,NA,NA
"MORRISON","MN",NA,NA,NA,NA,NA
"MORRIS","KS",NA,NA,NA,NA,NA
"MORRIS","NJ",12.8666666666667,17.3666666666667,"Better Than National","Worse Than National",NA
"MORRILL","NE",NA,NA,NA,NA,NA
"MORGAN","AL",14.5,17.5,NA,"Worse Than National",NA
"MORGAN","CO",NA,NA,NA,NA,NA
"MORGAN","GA",NA,NA,NA,NA,NA
"MORGAN","IL",NA,NA,NA,NA,NA
"MORGAN","IN",NA,NA,NA,NA,NA
"MORGAN","KY",NA,NA,NA,NA,NA
"MORGAN","WV",NA,NA,NA,NA,NA
"MOREHOUSE","LA",NA,NA,NA,NA,NA
"MOORE","NC",12.5,16.5,"Better Than National",NA,NA
"MOORE","TX",NA,NA,NA,NA,NA
"MOODY","SD",NA,NA,NA,NA,NA
"MONTROSE","CO",12.9,16.1,"Better Than National","Better Than National","Better Than National"
"MONTOUR","PA",13.7,18.8,NA,"Worse Than National",NA
"MONTGOMERY","AL",13.7666666666667,17.5666666666667,NA,"Worse Than National",NA
"MONTGOMERY","IA",15.5,NA,"Worse Than National",NA,NA
"MONTGOMERY","IL",NA,NA,NA,NA,NA
"MONTGOMERY","IN",NA,NA,NA,NA,NA
"MONTGOMERY","KS",NA,NA,NA,NA,NA
"MONTGOMERY","KY",NA,NA,NA,NA,NA
"MONTGOMERY","MD",NA,NA,NA,NA,NA
"MONTGOMERY","MS",NA,NA,NA,NA,NA
"MONTGOMERY","NC",NA,NA,NA,NA,NA
"MONTGOMERY","NY",14.5,16.9,NA,NA,NA
"MONTGOMERY","OH",13.88,16.9,NA,NA,NA
"MONTGOMERY","PA",14.25,17.3166666666667,NA,"Worse Than National",NA
"MONTGOMERY","TN",16.5,18,"Worse Than National","Worse Than National","Worse Than National"
"MONTGOMERY","TX",13.8,17.15,NA,NA,NA
"MONTGOMERY","VA",15.5,16.5,"Worse Than National",NA,NA
"MONTEZUMA","CO",NA,NA,NA,NA,NA
"MONTEREY","CA",13.4,16.2,"Better Than National","Better Than National","Better Than National"
"MONTCALM","MI",NA,NA,NA,NA,NA
"MONTAGUE","TX",NA,NA,NA,NA,NA
"MONROE","AL",NA,NA,NA,NA,NA
"MONROE","FL",15.2,16.6,"Worse Than National",NA,NA
"MONROE","GA",NA,NA,NA,NA,NA
"MONROE","IA",NA,NA,NA,NA,NA
"MONROE","IN",11.2,14.8,"Better Than National","Better Than National","Better Than National"
"MONROE","KY",NA,NA,NA,NA,NA
"MONROE","MI",11.7,18.1,"Better Than National","Worse Than National",NA
"MONROE","MS",NA,NA,NA,NA,NA
"MONROE","NY",13.2,17.175,"Better Than National",NA,NA
"MONROE","PA",12.5,16.8,"Better Than National",NA,NA
"MONROE","TN",16,NA,"Worse Than National",NA,NA
"MONROE","WI",13.3,NA,"Better Than National",NA,NA
"MONONGALIA","WV",15.95,17.45,"Worse Than National","Worse Than National","Worse Than National"
"MONONA","IA",NA,NA,NA,NA,NA
"MONO","CA",NA,NA,NA,NA,NA
"MONMOUTH","NJ",12.64,17.16,"Better Than National",NA,NA
"MOHAVE","AZ",14.85,16.95,"Worse Than National",NA,NA
