"","County.Name","State","Score.Clot","Score.Sepsis","Score.Cath.Infection","Score.Serious.Complication","Score.Death.Complications"
"1373","LOUDON","TN",5.23,NA,0.16,0.8,NA
"1374","LOUDOUN","VA",6.99,12.62,0.12,0.82,128.45
"1375","LOVE","OK",NA,NA,NA,NA,NA
"1376","LOWNDES","GA",2.75,8.67,0.1,0.58,149.35
"1377","LOWNDES","MS",3.54,11.98,0.11,0.8,126.34
"1378","LUBBOCK","TX",6.06,10.89,0.2,0.91,153.53
"1379","LUCAS","IA",NA,NA,NA,NA,NA
"1380","LUCAS","OH",12.02,12.42,0.17,1.77,166.31
"1381","LUCE","MI",NA,NA,NA,NA,NA
"1382","LUMPKIN","GA",4.18,9.76,0.17,0.85,NA
"1383","LUNA","NM",NA,NA,NA,NA,NA
"1384","LUZERNE","PA",7.08,17.45,0.29,1.12,157.82
"1385","LYCOMING","PA",4.74,13.57,0.25,0.8,128.78
"1386","LYNCHBURG CITY","VA",3.13,14.47,0.28,0.72,101.42
"1387","LYNN","TX",NA,NA,NA,NA,NA
"1388","LYON","IA",NA,NA,NA,NA,NA
"1389","LYON","KS",NA,NA,NA,NA,NA
"1390","LYON","MN",NA,NA,NA,NA,NA
"1391","LYON","NV",NA,NA,0.17,0.9,NA
"1392","MACKINAC","MI",NA,NA,NA,NA,NA
"1393","MACOMB","MI",9.73,15.55,0.23,1.17,153.68
"1394","MACON","GA",NA,NA,0.17,0.9,NA
"1395","MACON","IL",5.17,13.5,0.19,1.34,146.62
"1396","MACON","MO",NA,NA,NA,NA,NA
"1397","MACON","NC",NA,NA,NA,NA,NA
"1398","MACON","TN",NA,NA,NA,NA,NA
"1399","MACOUPIN","IL",NA,NA,NA,NA,NA
"1400","MADERA","CA",4.81,9.64,0.15,0.78,NA
"1401","MADISON","AL",4.17,8.02,0.16,0.75,171.91
"1402","MADISON","FL",NA,NA,NA,NA,NA
"1403","MADISON","IA",NA,NA,NA,NA,NA
"1404","MADISON","ID",4.63,8.89,0.16,1.01,NA
"1405","MADISON","IL",5.69,12.87,0.25,1,132.76
"1406","MADISON","IN",4.91,10.67,0.13,0.92,138.05
"1407","MADISON","KY",4.27,9.17,0.15,0.71,113.24
"1408","MADISON","LA",NA,NA,NA,NA,NA
"1409","MADISON","MO",NA,NA,NA,NA,NA
"1410","MADISON","MS",6.11,NA,0.16,0.98,NA
"1411","MADISON","MT",NA,NA,NA,NA,NA
"1412","MADISON","NE",3.43,14.54,0.13,0.7,140.2
